Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
What does a max filter do in image processing?,Increases the contrast of the image,Reduces noise in the image,Applies a Gaussian blur,Finds the maximum pixel value in a neighborhood,Enhances the brightness,Finds the maximum pixel value in a neighborhood
In what ways is object detection applied in real life? (Select all that apply),Identifying objects in autonomous vehicle navigation,Recognizing text in handwritten documents,Detecting objects for real-time surveillance,Performing sentiment analysis in texts,Tracking objects in sports events,Identifying objects in autonomous vehicle navigation;Detecting objects for real-time surveillance;Tracking objects in sports events
Which kernel based operations are common in image processing?,Blurring,Noise removal,Edge detection,Object segmentation,Sharpening,Blurring;Sharpening;Edge detection;Noise removal
What is the goal of contrast stretching in image processing?,To remove background objects,To sharpen edges,To reduce image noise,To improve the dynamic range of pixel intensity values,To increase brightness,To improve the dynamic range of pixel intensity values
Why is image segmentation crucial in some computer vision tasks?,It assigns class labels to the entire image,It enhances the brightness of the image,It increases the image resolution,It identifies an object's edges,It isolates individual objects for better analysis,It isolates individual objects for better analysis
What does the term 'image smoothing' refer to?,Compressing the image data,Adjusting the contrast of the image,Enhancing the color of the image,Reducing the noise and fine details in an image,Increasing the sharpness of an image,Reducing the noise and fine details in an image
What are some challenges that make object recognition difficult for computers? (Select all that apply),Objects can be occluded by other objects,Objects are always detected with complete accuracy,Object orientation may vary,Objects may have different appearances based on lighting,Objects can change colors in different contexts,Objects may have different appearances based on lighting;Objects can be occluded by other objects;Object orientation may vary
What is the purpose of convolution in image processing?,To compute the Fourier transform,To detect edges,To segment the image,To apply filters on an image,To amplify color,To apply filters on an image
What is the difference between histogram equalization and histogram specification?,"Histogram equalization sharpens edges, while histogram specification reduces contrast","Histogram equalization adjusts brightness, while histogram specification smooths the image","Histogram equalization improves contrast, while histogram specification matches histograms to a reference","Histogram equalization reduces image size, while histogram specification enhances color","Histogram equalization reduces noise, while histogram specification compresses the image","Histogram equalization improves contrast, while histogram specification matches histograms to a reference"
What is the primary difference between a min filter and a max filter?,"The min filter selects the lowest pixel value, while the max filter selects the highest pixel value in a neighborhood","The min filter reduces image resolution, while the max filter increases it","The min filter enhances colors, while the max filter blurs them","The min filter smooths edges, while the max filter sharpens edges","The min filter increases contrast, while the max filter decreases contrast","The min filter selects the lowest pixel value, while the max filter selects the highest pixel value in a neighborhood"
Which operation is typically used to highlight edges in an image?,Median filtering,Histogram equalization,Convolution,Smoothing,Contrast stretching,Convolution
What makes teaching a computer to recognize an object harder than teaching a human?,"Computers need specific data points, while humans use general cognitive abilities",Humans have built-in vision systems that allow instant recognition,None of the above,Humans process contextual information intuitively,All of the above,All of the above
Object classification merupakan salah satu task pada computer vision yang berusaha untuk mencari lokasi suatu objek di dalam citra,True,False,,,,False
"Convolutional Neural Network bukanlah konsep yang sama sekali baru, karena pada dasarnya konsep ini sudah pernah ditemukan oleh Kunihiko Fukushima, Geoff Hinton, dan Yann LeCun pada tahun 1970 dan 1980",True,False,,,,True
What is digital image acquisition?,Storing an image in digital format,Enhancing image resolution,Capturing images using a digital sensor,Reducing noise in digital images,Processing images in real-time,Capturing images using a digital sensor
What is the primary goal of histogram equalization?,To reduce image brightness,To enhance the contrast of an image,To blur the image,To increase the size of an image,To reduce the resolution of an image,To enhance the contrast of an image
What is one of the main goals of object categorization in computer vision?,To detect the location of an object in an image,To enhance object features for better recognition,To remove objects from images,To generate new objects from images,To classify objects into predefined categories,To classify objects into predefined categories
What is the goal of histogram equalization?,To apply a Gaussian blur,To reduce the resolution of an image,To improve the contrast of an image,To increase the sharpness of an image,To change the color channels,To improve the contrast of an image
What does digital image acquisition involve?,Changing the brightness of an image,Acquiring images from digital sensors or cameras,Converting images into binary data,Enhancing the quality of an image,None of the above,Acquiring images from digital sensors or cameras
What is the main benefit of representing images as matrices in digital image processing?,All of the above,Simplified mathematical operations,Parallel processing,Easy access to pixel data,Efficient storage,All of the above
